Group,Site.Name,Latitude,Longitude,Date,Time,Rain.mm,Temp,RH,WindSpeed.ms,GustSpeed.ms,WindDirection.theta,WindDirection
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,19:46:00,1.2,13.74,93.439,0,0,220.4,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,20:01:00,1.2,13.59,93.26,0,0,220.4,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,20:16:00,2,13.419,94.986,0,0.5,220.4,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,20:31:00,0.6,13.333,95.215,0,1.51,209.2,SW
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,20:46:00,0.2,13.226,94.977,0,0.5,158.6,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,21:01:00,0,13.14,94.867,0,0,158.6,S
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,21:16:00,0.2,13.011,95.801,0,1.01,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,21:31:00,0.2,12.99,95.697,0,0.5,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,21:46:00,0,12.99,95.981,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,22:01:00,0,12.904,96.469,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,22:16:00,0.2,12.968,95.45,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,22:31:00,0.2,12.882,96.635,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,22:46:00,0.2,12.861,96.208,0,0.5,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,23:01:00,0.6,12.754,96.713,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,23:16:00,0.4,12.689,97.403,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,23:31:00,0.2,12.604,97.554,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/20/2023,23:46:00,0.2,12.625,97.618,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,0:01:00,0.2,12.604,97.702,0,0,157.2,SE
East Syracuse Elementary,East Syracuse Elementary,43.068611,-76.074583,10/21/2023,0:16:00,0.6,12.582,97.166,0,0,157.2,SE
